"date","receiver","sender","name","mcc","count"
"04.10.2016","GB","US","Computer Maintenance and Programming","7379","20"
"24.11.2016","GB","PG","Charitable and Social Service Organizations","8398","24"
"02.11.2016","GB","UG","Charitable and Social Service Organizations","8398","30"
"30.09.2016","GB","ES","Computer Maintenance and Programming","7379","4"
"06.10.2016","RU","FR","Computer Maintenance and Programming","7379","27"
"10.09.2016","GB","TR","Charitable and Social Service Organizations","8398","45"
"28.09.2016","GB","FI","Computer Maintenance and Programming","7379","14"
"11.09.2016","UA","IN","Tickets and Travel","7922","5"
"17.10.2016","GB","BY","Computer Maintenance and Programming","7379","50"
"03.11.2016","GB","LK","Charitable and Social Service Organizations","8398","36"
"10.09.2016","GB","QA","Charitable and Social Service Organizations","8398","8"
"12.10.2016","CZ","UA","Computer Maintenance and Programming","7379","504"
"27.09.2016","GB","MT","Charitable and Social Service Organizations","8398","13"
"13.09.2016","GB","BR","Charitable and Social Service Organizations","8398","451"
"17.09.2016","GB","EE","Charitable and Social Service Organizations","8398","17"
"24.11.2016","GB","SG","Charitable and Social Service Organizations","8398","5"
"19.11.2016","RU","PT","Stores and Shops","5200","88"
"26.09.2016","GB","LV","Computer Maintenance and Programming","7379","55"
"01.12.2016","UA","AT","Stores and Shops","5200","30"
"08.11.2016","RU","AU","Computer Maintenance and Programming","7379","8"
"15.11.2016","GB","PL","Computer Maintenance and Programming","7379","48"
"30.10.2016","UA","DE","Hotels, Motels, Resorts","7011","18"
"10.10.2016","RU","AU","Stores and Shops","5200","4"
"10.10.2016","LV","US","Professional and Personal Services","8999","6"
"16.11.2016","GB","EG","Charitable and Social Service Organizations","8398","3"
"25.11.2016","RU","FR","Computer Maintenance and Programming","7379","40"
"20.09.2016","LV","AE","Car Rental Companies","7512","3"
"21.10.2016","GB","LT","Charitable and Social Service Organizations","8398","45"
"26.10.2016","UA","CN","Tickets and Travel","7922","7"
"23.10.2016","GB","AZ","Computer Maintenance and Programming","7379","2"
"30.09.2016","UA","BY","Computer Maintenance and Programming","7379","4"
"10.09.2016","UA","IT","Florists","5193","18"
"24.11.2016","UA","US","Computer Maintenance and Programming","7379","40"
"23.11.2016","GB","SG","Charitable and Social Service Organizations","8398","3"
"19.09.2016","RU","SN","Dating","7273","8"
"19.10.2016","UA","TR","Taxicabs and Limousines","4121","3"
"23.09.2016","GB","UA","Computer Maintenance and Programming","7379","250"
"12.11.2016","CZ","RU","Computer Maintenance and Programming","7379","28"
"15.09.2016","RU","MD","Dating","7273","7"
"24.09.2016","RU","US","Dating","7273","27"
"03.10.2016","UA","SE","Florists","5193","8"
"14.10.2016","CZ","GB","Computer Maintenance and Programming","7379","140"
"19.11.2016","CZ","UA","Computer Maintenance and Programming","7379","266"
"06.11.2016","GB","ZA","Charitable and Social Service Organizations","8398","135"
"10.11.2016","UA","PL","Tickets and Travel","7922","20"
"24.10.2016","UA","CH","Education","8299","21"
"26.10.2016","RU","AU","Professional and Personal Services","8999","3"
"09.11.2016","UA","SG","Florists","5193","6"
"27.11.2016","RU","FR","Stores and Shops","5200","7"
"12.09.2016","GB","ES","Charitable and Social Service Organizations","8398","48"
"25.09.2016","GB","KR","Charitable and Social Service Organizations","8398","6"
"05.12.2016","UA","RU","Computer Maintenance and Programming","7379","156"
"01.12.2016","UA","IL","Education","8299","80"
"21.11.2016","GB","IN","Charitable and Social Service Organizations","8398","235"
"07.12.2016","RU","FI","Education","8299","9"
"07.10.2016","GB","MT","Charitable and Social Service Organizations","8398","300"
"26.09.2016","GB","UA","Computer Maintenance and Programming","7379","150"
"26.11.2016","RU","AM","Professional and Personal Services","8999","44"
"18.11.2016","UA","US","Charitable and Social Service Organizations","8398","16"
"15.10.2016","RU","IT","Stores and Shops","5200","24"
"08.12.2016","RU","KZ","Education","8299","2"
"04.12.2016","LV","GE","Professional and Personal Services","8999","7"
"09.09.2016","GB","CR","Charitable and Social Service Organizations","8398","32"
"21.09.2016","GB","SA","Charitable and Social Service Organizations","8398","18"
"22.09.2016","UA","CH","Tickets and Travel","7922","10"
"04.11.2016","GB","PE","Charitable and Social Service Organizations","8398","60"
"30.09.2016","UA","EG","Tickets and Travel","7922","8"
"21.09.2016","GB","ZA","Charitable and Social Service Organizations","8398","120"
"09.11.2016","CZ","UA","Computer Maintenance and Programming","7379","126"
"21.09.2016","UA","US","Tickets and Travel","7922","8"
"14.10.2016","RU","AZ","Dating","7273","5"
"02.11.2016","RU","US","Computer Maintenance and Programming","7379","20"
"17.09.2016","UA","NO","Tickets and Travel","7922","3"
"01.10.2016","LV","GB","Florists","5193","21"
"29.10.2016","RU","KZ","Dating","7273","8"
"20.10.2016","UA","CA","Taxicabs and Limousines","4121","1"
"29.10.2016","RU","DE","Professional and Personal Services","8999","3"
"08.10.2016","UA","US","Florists","5193","90"
"02.12.2016","UA","US","Tickets and Travel","7922","42"
"24.09.2016","UA","DE","Tickets and Travel","7922","9"
"16.10.2016","GB","NG","Management, Consulting, and Advertising Services","7311","92"
"30.11.2016","RU","DE","Dating","7273","8"
"24.11.2016","RU","BE","Dating","7273","2"
"30.11.2016","RU","KZ","Professional and Personal Services","8999","110"
"06.11.2016","GB","SA","Charitable and Social Service Organizations","8398","9"
"14.10.2016","DE","RU","Furniture","7011","44"
"11.10.2016","EE","RU","Telecommunication Services","4814","10"
"15.09.2016","UA","AU","Tickets and Travel","7922","4"
"19.10.2016","UA","BG","Computer Maintenance and Programming","7379","11"
"09.10.2016","UA","GB","Computer Maintenance and Programming","7379","3"
"25.11.2016","UA","CH","Florists","5193","1"
"28.10.2016","EE","BY","Telecommunication Services","4814","6"
"24.10.2016","CZ","IL","Computer Maintenance and Programming","7379","126"
"01.12.2016","RU","LT","Professional and Personal Services","8999","64"
"06.11.2016","GB","GM","Charitable and Social Service Organizations","8398","21"
"23.11.2016","GB","MM","Charitable and Social Service Organizations","8398","16"
"18.10.2016","GB","RU","Charitable and Social Service Organizations","8398","1971"
"30.10.2016","GB","AM","Computer Maintenance and Programming","7379","16"
"25.11.2016","GB","FR","Charitable and Social Service Organizations","8398","44"
"22.09.2016","GB","NG","Charitable and Social Service Organizations","8398","660"
"23.09.2016","GB","SO","Charitable and Social Service Organizations","8398","21"
"08.11.2016","RU","GB","Stores and Shops","5200","11"
"05.10.2016","RU","EG","Computer Maintenance and Programming","7379","5"
"21.09.2016","GB","GE","Computer Maintenance and Programming","7379","16"
"25.10.2016","LV","UA","Professional and Personal Services","8999","245"
"20.10.2016","GB","IE","Charitable and Social Service Organizations","8398","12"
"08.11.2016","GB","AU","Charitable and Social Service Organizations","8398","378"
"16.10.2016","GB","ME","Computer Maintenance and Programming","7379","18"
"26.09.2016","UA","US","Taxicabs and Limousines","4121","17"
"29.11.2016","UA","BE","Tickets and Travel","7922","8"
"18.11.2016","RU","KZ","Professional and Personal Services","8999","16"
"01.10.2016","UA","AE","Education","8299","1"
"10.09.2016","UA","DE","Florists","5193","1"
"23.09.2016","EE","AZ","Telecommunication Services","4814","27"
"13.11.2016","UA","AE","Florists","5193","22"
"14.11.2016","LV","DK","Education","8299","3"
"08.10.2016","GB","PT","Charitable and Social Service Organizations","8398","45"
"23.11.2016","RU","US","Stores and Shops","5200","10"
"16.09.2016","EE","US","Telecommunication Services","4814","186"
"14.10.2016","UA","FR","Florists","5193","8"
"31.10.2016","UA","SK","Florists","5193","1"
"22.11.2016","GB","CR","Charitable and Social Service Organizations","8398","6"
"23.10.2016","EE","UA","Telecommunication Services","4814","414"
"15.09.2016","UA","AT","Computer Maintenance and Programming","7379","9"
"06.11.2016","GB","GE","Computer Maintenance and Programming","7379","54"
"04.10.2016","RU","CZ","Computer Maintenance and Programming","7379","4"
"06.10.2016","GB","FR","Charitable and Social Service Organizations","8398","36"
"10.09.2016","RU","TR","Computer Maintenance and Programming","7379","1"
"13.10.2016","RU","FR","Stores and Shops","5200","7"
"23.10.2016","GB","SB","Charitable and Social Service Organizations","8398","18"
"11.09.2016","UA","RU","Tickets and Travel","7922","12"
"10.09.2016","UA","PL","Tickets and Travel","7922","12"
"01.12.2016","GB","AE","Dating","7273","35"
"12.09.2016","UA","RU","Stores and Shops","5200","18"
"12.11.2016","UA","TR","Taxicabs and Limousines","4121","20"
"02.12.2016","GB","LV","Computer Maintenance and Programming","7379","6"
"16.09.2016","UA","NL","Tickets and Travel","7922","10"
"19.10.2016","CZ","RU","Computer Maintenance and Programming","7379","248"
"23.10.2016","GB","EC","Charitable and Social Service Organizations","8398","150"
"13.11.2016","UA","KZ","Education","8299","30"
"06.12.2016","UA","SE","Computer Maintenance and Programming","7379","22"
"20.10.2016","GB","KE","Charitable and Social Service Organizations","8398","18"
"22.11.2016","RU","JP","Computer Maintenance and Programming","7379","77"
"20.11.2016","RU","TR","Dating","7273","3"
"06.12.2016","GB","TH","Charitable and Social Service Organizations","8398","8"
"12.10.2016","GB","KZ","Computer Maintenance and Programming","7379","88"
"30.11.2016","GB","AU","Dating","7273","3"
"27.10.2016","RU","US","Professional and Personal Services","8999","14"
"07.12.2016","GB","FR","Computer Maintenance and Programming","7379","18"
"16.10.2016","UA","GB","Taxicabs and Limousines","4121","18"
"25.09.2016","GB","MZ","Charitable and Social Service Organizations","8398","108"
"03.11.2016","LV","EE","Professional and Personal Services","8999","9"
"07.10.2016","UA","DK","Florists","5193","4"
"21.10.2016","RU","UA","Hotels, Motels, Resorts","7011","14"
"24.10.2016","UA","DE","Computer Maintenance and Programming","7379","8"
"02.11.2016","UA","RU","Education","8299","180"
"21.11.2016","GB","PE","Charitable and Social Service Organizations","8398","88"
"29.10.2016","GB","BY","Charitable and Social Service Organizations","8398","9"
"29.10.2016","UA","US","Computer Maintenance and Programming","7379","18"
"27.11.2016","GB","UG","Charitable and Social Service Organizations","8398","12"
"11.11.2016","GB","AT","Charitable and Social Service Organizations","8398","8"
"07.11.2016","RU","IL","Dating","7273","28"
"13.09.2016","RU","GB","Stores and Shops","5200","8"
"08.10.2016","UA","KW","Education","8299","6"
"10.11.2016","GB","MT","Charitable and Social Service Organizations","8398","96"
"24.09.2016","RU","AT","Financial Services","6012","7"
"04.11.2016","GB","FR","Computer Maintenance and Programming","7379","6"
"04.11.2016","GB","IN","Charitable and Social Service Organizations","8398","475"
"15.09.2016","GB","UA","Computer Maintenance and Programming","7379","198"
"11.11.2016","UA","BY","Education","8299","4"
"03.12.2016","UA","BY","Computer Maintenance and Programming","7379","4"
"04.10.2016","GB","CA","Charitable and Social Service Organizations","8398","69"
"15.11.2016","CZ","BY","Computer Maintenance and Programming","7379","70"
"07.10.2016","UA","PL","Tickets and Travel","7922","8"
"04.12.2016","UA","BY","Computer Maintenance and Programming","7379","3"
"29.11.2016","UA","LT","Tickets and Travel","7922","10"
"06.12.2016","GB","US","Telecommunication Services","4814","24"
"19.09.2016","UA","RU","Computer Maintenance and Programming","7379","102"
"17.09.2016","RU","AE","Computer Maintenance and Programming","7379","1"
"13.10.2016","UA","BY","Computer Maintenance and Programming","7379","10"
"04.12.2016","GB","ES","Computer Maintenance and Programming","7379","6"
"13.10.2016","GB","US","Charitable and Social Service Organizations","8398","4040"
"01.12.2016","GB","CY","Computer Maintenance and Programming","7379","10"
"16.09.2016","GB","CL","Charitable and Social Service Organizations","8398","18"
"30.11.2016","GB","TW","Charitable and Social Service Organizations","8398","12"
"13.10.2016","GB","CZ","Computer Maintenance and Programming","7379","7"
"03.12.2016","GB","ES","Computer Maintenance and Programming","7379","14"
"07.12.2016","GB","BG","Computer Maintenance and Programming","7379","12"
"01.11.2016","UA","CA","Computer Maintenance and Programming","7379","9"
"03.10.2016","RU","FR","Computer Maintenance and Programming","7379","63"
"09.10.2016","GB","PL","Charitable and Social Service Organizations","8398","2"
"01.12.2016","GB","EE","Dating","7273","12"
"12.09.2016","EE","RS","Telecommunication Services","4814","6"
"27.11.2016","RU","BG","Dating","7273","24"
"29.09.2016","GB","LR","Charitable and Social Service Organizations","8398","21"
"28.10.2016","UA","RU","Dating","7273","20"
"06.12.2016","UA","CZ","Computer Maintenance and Programming","7379","4"
"12.11.2016","GB","LT","Charitable and Social Service Organizations","8398","45"
"04.10.2016","RU","GB","Stores and Shops","5200","4"
"25.11.2016","LV","NL","Stores and Shops","5200","30"
"11.11.2016","GB","GH","Charitable and Social Service Organizations","8398","27"
"06.12.2016","UA","IT","Education","8299","28"
"27.11.2016","GB","US","Charitable and Social Service Organizations","8398","2034"
"19.09.2016","GB","GT","Charitable and Social Service Organizations","8398","30"
"21.10.2016","CZ","RU","Computer Maintenance and Programming","7379","310"
"24.10.2016","RU","US","Professional and Personal Services","8999","10"
"14.09.2016","UA","SK","Tickets and Travel","7922","8"
"20.10.2016","GB","LV","Charitable and Social Service Organizations","8398","46"
"03.11.2016","GB","RO","Computer Maintenance and Programming","7379","12"
"04.12.2016","GB","RU","Professional and Personal Services","8999","5"
"14.11.2016","UA","RU","Tickets and Travel","7922","9"
"17.11.2016","GB","RU","Computer Maintenance and Programming","7379","3272"
"14.11.2016","RU","TM","Stores and Shops","5200","12"
"07.10.2016","RU","BY","Education","8299","2"
"21.11.2016","GB","TM","Charitable and Social Service Organizations","8398","3"
"08.12.2016","GB","UA","Telecommunication Services","4814","32"
"29.10.2016","GB","EG","Charitable and Social Service Organizations","8398","135"
"20.09.2016","RU","GB","Computer Maintenance and Programming","7379","80"
"25.09.2016","UA","IT","Computer Maintenance and Programming","7379","6"
"10.11.2016","UA","DK","Florists","5193","7"
"19.09.2016","RU","AT","Computer Maintenance and Programming","7379","8"
"26.11.2016","GB","MT","Computer Maintenance and Programming","7379","3"
"18.09.2016","RU","HU","Dating","7273","2"
"10.09.2016","GB","MT","Charitable and Social Service Organizations","8398","6"
"25.09.2016","EE","FR","Telecommunication Services","4814","11"
"09.10.2016","GB","BR","Charitable and Social Service Organizations","8398","264"
"13.10.2016","GB","UG","Charitable and Social Service Organizations","8398","12"
"14.09.2016","GB","PA","Charitable and Social Service Organizations","8398","20"
"13.10.2016","GB","TT","Charitable and Social Service Organizations","8398","18"
"25.09.2016","GB","FI","Charitable and Social Service Organizations","8398","20"
"14.11.2016","GB","NA","Charitable and Social Service Organizations","8398","27"
"27.09.2016","GB","TR","Charitable and Social Service Organizations","8398","44"
"13.09.2016","UA","GB","Computer Maintenance and Programming","7379","11"
"11.11.2016","GB","GT","Charitable and Social Service Organizations","8398","21"
"30.10.2016","UA","GE","Education","8299","16"
"03.12.2016","PL","UA","Education","8299","9"
"09.09.2016","RU","IL","Dating","7273","7"
"22.11.2016","GB","BY","Computer Maintenance and Programming","7379","7"
"03.10.2016","GB","FR","Charitable and Social Service Organizations","8398","44"
"07.10.2016","UA","IT","Florists","5193","2"
"09.11.2016","UA","GE","Taxicabs and Limousines","4121","5"
"28.09.2016","GB","UA","Computer Maintenance and Programming","7379","96"
"17.09.2016","GB","AE","Charitable and Social Service Organizations","8398","180"
"15.11.2016","GB","MD","Charitable and Social Service Organizations","8398","28"
"13.10.2016","RU","US","Computer Maintenance and Programming","7379","10"
"19.09.2016","GB","GH","Charitable and Social Service Organizations","8398","6"
"02.12.2016","RU","MD","Dating","7273","15"
"05.10.2016","RU","KZ","Dating","7273","4"
"11.10.2016","GB","BG","Computer Maintenance and Programming","7379","20"
"05.11.2016","RU","BY","Dating","7273","140"
"28.10.2016","UA","GB","Management, Consulting, and Advertising Services","7311","8"
"11.09.2016","UA","NO","Tickets and Travel","7922","7"
"01.12.2016","LV","UA","Computer Maintenance and Programming","7379","18"
"04.11.2016","RU","RS","Professional and Personal Services","8999","9"
"25.09.2016","GB","RU","Computer Maintenance and Programming","7379","216"
"15.10.2016","GB","BD","Charitable and Social Service Organizations","8398","81"
"08.09.2016","GB","LT","Charitable and Social Service Organizations","8398","12"
"30.11.2016","CZ","CA","Computer Maintenance and Programming","7379","63"
"24.11.2016","UA","BZ","Taxicabs and Limousines","4121","2"
"16.11.2016","RU","KZ","Dating","7273","33"
"08.11.2016","UA","AZ","Tickets and Travel","7922","21"
"02.11.2016","GB","SE","Computer Maintenance and Programming","7379","40"
"21.10.2016","GB","BE","Charitable and Social Service Organizations","8398","4"
"20.10.2016","GB","UA","Charitable and Social Service Organizations","8398","189"
"25.11.2016","GB","IS","Computer Maintenance and Programming","7379","6"
"28.11.2016","UA","GR","Tickets and Travel","7922","1"
"09.10.2016","UA","TW","Computer Maintenance and Programming","7379","1"
"15.09.2016","CZ","KZ","Computer Maintenance and Programming","7379","7"
"27.11.2016","UA","RU","Education","8299","286"
"23.11.2016","UA","BZ","Taxicabs and Limousines","4121","11"
"18.10.2016","GB","NO","Charitable and Social Service Organizations","8398","2"
"07.10.2016","GB","TR","Charitable and Social Service Organizations","8398","210"
"04.10.2016","RU","CA","Computer Maintenance and Programming","7379","3"
"30.11.2016","GB","GE","Charitable and Social Service Organizations","8398","60"
"28.11.2016","LV","RU","Telecommunication Services","4814","4"
"22.11.2016","RU","IL","Dating","7273","28"
"02.11.2016","RU","FR","Stores and Shops","5200","10"
"19.09.2016","GB","AT","Charitable and Social Service Organizations","8398","6"
"03.11.2016","UA","CA","Florists","5193","8"
"08.12.2016","RU","TR","Dating","7273","36"
"05.11.2016","GB","IL","Computer Maintenance and Programming","7379","6"
"25.10.2016","GB","AM","Charitable and Social Service Organizations","8398","15"
"18.09.2016","GB","AE","Charitable and Social Service Organizations","8398","15"
"26.10.2016","GB","ID","Charitable and Social Service Organizations","8398","231"
"27.09.2016","UA","PL","Tickets and Travel","7922","3"
"24.11.2016","RU","UZ","Dating","7273","9"
"19.10.2016","GB","LT","Charitable and Social Service Organizations","8398","36"
"29.11.2016","GB","FI","Computer Maintenance and Programming","7379","16"
"13.10.2016","UA","RU","Education","8299","47"
"18.11.2016","GB","GE","Charitable and Social Service Organizations","8398","54"
"14.10.2016","GB","SE","Charitable and Social Service Organizations","8398","8"
"14.11.2016","GB","AM","Computer Maintenance and Programming","7379","12"
"29.09.2016","UA","KZ","Education","8299","16"
"12.09.2016","UA","BG","Florists","5193","1"
"27.11.2016","RU","US","Computer Maintenance and Programming","7379","72"
"28.10.2016","UA","VE","Tickets and Travel","7922","3"
"06.10.2016","UA","SE","Florists","5193","1"
"06.12.2016","UA","DE","Education","8299","20"
"11.11.2016","RU","UA","Financial Services","6012","6"
"03.11.2016","UA","IL","Tickets and Travel","7922","2"
"14.11.2016","UA","AZ","Computer Maintenance and Programming","7379","4"
"02.12.2016","UA","CN","Florists","5193","8"
"19.11.2016","GB","SI","Charitable and Social Service Organizations","8398","21"
"11.11.2016","UA","RU","Computer Maintenance and Programming","7379","133"
"10.10.2016","UA","PL","Computer Maintenance and Programming","7379","3"
"19.10.2016","RU","GB","Professional and Personal Services","8999","9"
"29.09.2016","RU","US","Financial Services","6012","6"
"20.09.2016","GB","MT","Computer Maintenance and Programming","7379","4"
"08.11.2016","GB","HR","Charitable and Social Service Organizations","8398","20"
"25.09.2016","UA","IL","Stores and Shops","5200","20"
"12.10.2016","UA","US","Dating","7273","10"
"03.10.2016","UA","EE","Tickets and Travel","7922","5"
"23.11.2016","RU","UZ","Dating","7273","4"
"12.09.2016","GB","PK","Charitable and Social Service Organizations","8398","12"
"07.11.2016","RU","GI","Dating","7273","5"
"22.09.2016","GB","LV","Computer Maintenance and Programming","7379","6"
"19.10.2016","RU","BY","Financial Services","6012","6"
"16.09.2016","UA","HU","Education","8299","9"
"06.12.2016","GB","FI","Charitable and Social Service Organizations","8398","12"
"11.11.2016","GB","RU","Professional and Personal Services","8999","18"
"18.09.2016","GB","US","Computer Maintenance and Programming","7379","2"
"30.11.2016","RU","CA","Dating","7273","20"
"29.10.2016","RU","MD","Dating","7273","8"
"16.09.2016","RU","TR","Professional and Personal Services","8999","8"
"06.11.2016","GB","TJ","Charitable and Social Service Organizations","8398","30"
"02.10.2016","RU","GR","Stores and Shops","5200","2"
"05.10.2016","CZ","KZ","Computer Maintenance and Programming","7379","70"
"21.10.2016","UA","LV","Florists","5193","11"
"14.11.2016","LV","EG","Professional and Personal Services","8999","5"
"06.12.2016","UA","CZ","Education","8299","2"
"06.12.2016","UA","IT","Computer Maintenance and Programming","7379","2"
"10.11.2016","UA","CA","Florists","5193","8"
"07.10.2016","GB","LK","Charitable and Social Service Organizations","8398","20"
"09.10.2016","GB","TG","Charitable and Social Service Organizations","8398","32"
"26.09.2016","GB","DO","Charitable and Social Service Organizations","8398","24"
"13.09.2016","GB","BW","Charitable and Social Service Organizations","8398","21"
"13.09.2016","LV","RU","Professional and Personal Services","8999","738"
"01.12.2016","UA","PL","Education","8299","35"
"28.11.2016","GB","BE","Charitable and Social Service Organizations","8398","16"
"03.10.2016","RU","SA","Computer Maintenance and Programming","7379","9"
"18.09.2016","LV","NZ","Stores and Shops","5200","20"
"22.11.2016","LV","GI","Telecommunication Services","4814","7"
"08.11.2016","UA","GB","Tickets and Travel","7922","3"
"31.10.2016","UA","US","Florists","5193","119"
"15.09.2016","RU","DE","Professional and Personal Services","8999","10"
"25.09.2016","UA","IT","Education","8299","14"
"02.10.2016","GB","ME","Charitable and Social Service Organizations","8398","4"
"15.09.2016","RU","KZ","Dating","7273","30"
"25.09.2016","UA","CZ","Computer Maintenance and Programming","7379","16"
"17.10.2016","GB","LV","Charitable and Social Service Organizations","8398","104"
"16.11.2016","GB","LV","Computer Maintenance and Programming","7379","80"
"23.09.2016","GB","NG","Charitable and Social Service Organizations","8398","1360"
"09.11.2016","RU","IE","Dating","7273","3"
"14.11.2016","LV","BY","Professional and Personal Services","8999","18"
"21.10.2016","UA","BG","Education","8299","6"
"28.09.2016","UA","IL","Florists","5193","6"
"04.12.2016","UA","BY","Education","8299","35"
"03.12.2016","UA","BY","Education","8299","20"
"16.10.2016","GB","TZ","Charitable and Social Service Organizations","8398","18"
"03.12.2016","RU","LV","Financial Services","6012","30"
"26.10.2016","UA","LT","Tickets and Travel","7922","6"
"05.10.2016","GB","LV","Computer Maintenance and Programming","7379","32"
"11.11.2016","RU","BY","Stores and Shops","5200","56"
"14.11.2016","UA","GB","Computer Maintenance and Programming","7379","40"
"08.09.2016","RU","BY","Financial Services","6012","2"
"17.09.2016","GB","US","Computer Maintenance and Programming","7379","20"
"23.10.2016","GB","SN","Charitable and Social Service Organizations","8398","21"
"19.11.2016","UA","NO","Florists","5193","6"
"11.11.2016","GB","PR","Charitable and Social Service Organizations","8398","4"
"16.10.2016","GB","CL","Charitable and Social Service Organizations","8398","4"
"30.09.2016","GB","HR","Computer Maintenance and Programming","7379","8"
"22.09.2016","EE","AZ","Telecommunication Services","4814","14"
"02.10.2016","CZ","SK","Video Games","7933","33"
"10.09.2016","UA","IL","Tickets and Travel","7922","12"
"04.11.2016","GB","GE","Charitable and Social Service Organizations","8398","9"
"02.11.2016","UA","GE","Stores and Shops","5200","60"
"13.11.2016","GB","EC","Charitable and Social Service Organizations","8398","2"
"23.10.2016","UA","KZ","Education","8299","12"
"20.09.2016","GB","AZ","Charitable and Social Service Organizations","8398","8"
"05.11.2016","RU","IN","Professional and Personal Services","8999","8"
"17.11.2016","UA","AE","Education","8299","8"
"20.09.2016","RU","CH","Dating","7273","3"
"05.12.2016","GB","CA","Computer Maintenance and Programming","7379","6"
"13.09.2016","GB","PH","Charitable and Social Service Organizations","8398","240"
"23.10.2016","UA","AE","Florists","5193","16"
"19.10.2016","UA","CY","Computer Maintenance and Programming","7379","10"
"13.11.2016","LV","FI","Stores and Shops","5200","10"
"13.11.2016","EE","UA","Telecommunication Services","4814","116"
"11.11.2016","GB","ES","Computer Maintenance and Programming","7379","8"
"10.09.2016","UA","CA","Florists","5193","8"
"18.10.2016","RU","LT","Dating","7273","9"
"08.11.2016","UA","TR","Tickets and Travel","7922","9"
"24.09.2016","GB","NL","Charitable and Social Service Organizations","8398","18"
"05.11.2016","GB","VE","Charitable and Social Service Organizations","8398","135"
"11.09.2016","EE","CA","Telecommunication Services","4814","48"
"11.10.2016","RU","DE","Stores and Shops","5200","7"
"27.10.2016","UA","CH","Computer Maintenance and Programming","7379","18"
"06.10.2016","LV","RU","Computer Maintenance and Programming","7379","8"
"14.11.2016","RU","FI","Dating","7273","2"
"20.09.2016","GB","RO","Charitable and Social Service Organizations","8398","6"
"28.09.2016","RU","GR","Computer Maintenance and Programming","7379","42"
"20.09.2016","RU","IL","Stores and Shops","5200","8"
"29.11.2016","GB","ID","Charitable and Social Service Organizations","8398","48"
"13.10.2016","UA","RU","Computer Maintenance and Programming","7379","384"
"08.11.2016","GB","PK","Charitable and Social Service Organizations","8398","81"
"27.09.2016","GB","GA","Charitable and Social Service Organizations","8398","33"
